,"Page ID",Class,Abstract,ServiceType,TrajectID,Jaar,VlocaSessie,Draaiboek,Deliverable,Actoren,Organisatie,Organisaties,Standaard,Status,SmartCityDomein,SmartCityIndicator,Beleidsthema,Initiatief,InitiatiefLink,Website,VlocaTraject,SessieType,ArchitectuurComponent,ArchitectuurBouwlaag,TypeDeliverable,TypeNieuws,Datum,Tijd,Locatie,Versie
"Data Ownership",555,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Portability",332,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Quality",546,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Scheme",530,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Spaces In Flanders",696,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Data Terms & Concepts",526,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Variety",544,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Velocity",542,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Veracity",492,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Volume",545,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data attribuut",714,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArchitectuurComponent:Data broker",969,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,"ArchitectuurBouwlaag:Segment Broker",,,,,,
"Data cataloog",551,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data enrichment",559,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data fusion",438,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data gedreven beleidsondersteuning","1,717",Initiatief,,,,,,,,,"Stad Genk",,,,,,,"City of Things 2022",,,,,,,,,,,,
"Data kwaliteit",255,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data management",719,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data protection",553,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data security",554,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data semantiek",552,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data space",694,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data-gedreven beslissingsondersteuningssysteem","1,140",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data-gestuurde winkelgebieden – Mechelen","1,695",Initiatief,,,,,,,,,Mechelen,,,,,,,,,,,,,,,,,,,
Data-soevereiniteit,251,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database,454,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database-vs-contextbroker,456,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Databroker - Gent","1,651",Initiatief,,,,,,,,,"Stad Gent",,,,,,,,,,,,,,,,,,,
"VlocaTraject:Datagestuurde handelskern","1,272",VlocaTraject,,Ondersteuning,,2022,,,,,"Stad Hasselt",,,Lopend,,,,,,,,,,,,,,,,
"File:Datagestuurde handelskern image.png","1,608","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataretentie,717,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datex,503,Standaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Lijn",524,Organisatie,,,,,,,,,,,,,,,,,,Https://www.delijn.be/nl/,,,,,,,,,,
"De Sint-Niklase Stadsmunt – Sint-Niklaas","1,692",Initiatief,,,,,,,,,"Stad Sint-Niklaas",,,,,,,,,,,,,,,,,,,
"De creatie van open (IoT) data awareness bij lokale overheden - Leuven","1,666",Initiatief,,,,,,,,,"Stad Leuven",,,,,,,,,,,,,,,,,,,
"VlocaTraject:Definitie Data Broker",527,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 1 image.jpg","1,349","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 10 image.png","1,370","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
